C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,label
0,4,96,146,1,4,163,1,1,72,117,127,157,7,127,126,8,66,0,0,3,0,1,96,0,0,0.0,1.3862943611198906,5.564520407322694,0.0,9.77956697061665,0.0,0.0,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,0
11,1,98,98,1,6,179,0,1,89,58,97,79,7,72,26,7,52,0,0,47,0,7,112,0,0,0.0,-1.0,2.995732273553991,3.58351893845611,10.31731757697592,5.5134287461649825,0.6931471805599453,3.58351893845611,5.081404364984463,0.0,0.6931471805599453,0.0,3.58351893845611,0
0,18,39,52,3,4,140,2,1,93,31,122,16,7,129,97,8,49,0,0,25,0,6,53,0,0,0.0,0.0,1.0986122886681098,2.5649493574615367,7.607878073278507,5.10594547390058,1.9459101490553132,3.58351893845611,6.261491684321042,0.0,1.3862943611198906,0.0,2.9444389791664403,0
0,45,7,117,1,0,164,1,0,20,61,104,36,1,43,43,8,37,0,0,156,0,0,32,0,0,0.0,2.6390573296152584,0.6931471805599453,1.6094379124341003,9.7313341246578,5.303304908059076,1.791759469228055,1.6094379124341003,3.4011973816621555,0.0,1.0986122886681098,0.0,1.6094379124341003,0
0,11,59,77,1,5,18,1,1,45,171,162,96,4,36,121,8,14,5,3,9,0,0,5,1,47,0.0,0.0,4.653960350157523,3.332204510175204,7.596392304064196,4.962844630259907,1.6094379124341003,3.4965075614664802,3.6375861597263857,0.0,0.6931471805599453,0.0,3.332204510175204,0
11,11,106,97,1,0,30,7,1,35,21,41,60,7,133,8,8,105,5,3,77,0,0,13,1,34,0.0,-1.0,4.1588830833596715,3.713572066704308,7.293697720601438,4.127134385045092,1.6094379124341003,3.6375861597263857,3.8501476017100584,0.0,0.6931471805599453,0.0,3.713572066704308,0
0,14,168,6,1,0,149,1,1,30,10,14,49,1,39,52,4,46,18,3,58,0,2,41,3,71,0.0,5.916202062607435,1.6094379124341003,0.6931471805599453,7.488852955733459,4.189654742026425,2.70805020110221,3.258096538021482,6.194405391104672,0.0,2.0794415416798357,0.0,3.258096538021482,0
0,23,31,36,3,0,93,1,1,53,102,16,141,7,96,55,8,80,5,1,128,0,0,12,16,17,2.995732273553991,2.3978952727983707,3.4339872044851463,2.3978952727983707,0.6931471805599453,1.3862943611198906,3.5263605246161616,3.871201010907891,4.844187086458591,1.3862943611198906,1.791759469228055,0.0,1.0986122886681098,1
16,7,141,85,1,6,34,1,1,30,145,15,0,2,31,122,8,57,0,0,113,0,9,12,0,0,0.0,0.0,3.6109179126442243,3.1354942159291497,8.452121194672523,5.384495062789089,2.302585092994046,3.58351893845611,4.912654885736052,0.0,0.6931471805599453,0.0,3.784189633918261,0
0,35,157,63,4,4,72,1,1,1,75,34,4,0,147,48,0,95,5,2,28,0,8,34,11,74,1.0986122886681098,2.4849066497880004,2.1972245773362196,3.1780538303479458,3.4339872044851463,2.4849066497880004,1.0986122886681098,2.1972245773362196,3.1780538303479458,0.6931471805599453,0.6931471805599453,0.0,2.4849066497880004,0
0,85,137,59,1,4,7,4,1,62,43,149,95,1,32,143,8,29,23,1,5,0,2,19,16,20,1.0986122886681098,0.6931471805599453,5.25227342804663,3.258096538021482,2.1972245773362196,3.295836866004329,1.0986122886681098,3.332204510175204,3.258096538021482,0.6931471805599453,0.6931471805599453,0.0,3.258096538021482,0
0,77,27,127,1,3,101,7,1,0,38,90,134,4,90,71,8,5,31,2,4,2,0,35,16,24,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,8.618666160346871,0.6931471805599453,3.7376696182833684,0.6931471805599453,3.5263605246161616,0.0,1.791759469228055,0.0,0.6931471805599453,0
0,88,122,43,1,4,134,7,1,19,78,99,75,7,27,37,8,68,0,0,46,0,8,22,0,0,0.0,1.791759469228055,0.0,0.0,9.821463717057537,6.135564891081739,3.1780538303479458,1.6094379124341003,5.44673737166631,0.0,1.0986122886681098,0.0,0.0,0
11,18,0,0,1,4,25,1,1,122,77,0,62,7,84,0,8,75,0,0,0,0,0,0,0,0,2.1972245773362196,-1.0,0.0,0.0,6.597145701886651,1.0986122886681098,3.1354942159291497,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003,0.0,0.0,0
10,47,47,29,4,5,102,1,1,25,115,87,25,6,138,145,6,50,0,0,79,0,8,44,0,0,0.0,0.0,3.2188758248682006,3.6109179126442243,8.521782643750045,6.07993319509559,3.258096538021482,3.4965075614664802,5.262690188904886,0.0,2.302585092994046,0.0,3.6109179126442243,1
0,19,60,139,1,5,142,1,0,130,25,54,150,1,155,84,8,39,5,1,42,5,0,15,1,5,0.0,4.418840607796598,3.044522437723423,1.6094379124341003,13.136924842795242,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0
9,39,121,128,6,4,45,1,1,70,76,154,135,7,161,10,8,53,0,0,76,0,1,87,0,0,0.0,3.2188758248682006,1.3862943611198906,1.0986122886681098,9.229750765496005,0.0,0.0,3.4965075614664802,4.02535169073515,0.0,0.0,0.0,1.0986122886681098,0
0,19,166,39,1,4,109,5,1,30,140,10,18,7,45,19,5,39,5,1,88,0,7,76,1,68,0.0,4.663439094112067,1.6094379124341003,0.6931471805599453,7.696667081526462,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0
18,10,105,46,1,4,28,1,1,38,9,142,81,1,163,68,6,117,5,3,32,0,2,35,15,24,1.791759469228055,4.454347296253507,3.970291913552122,1.9459101490553132,3.6109179126442243,3.6109179126442243,3.4339872044851463,3.2188758248682006,5.641907070938114,0.6931471805599453,1.791759469228055,1.0986122886681098,1.9459101490553132,1
11,17,35,60,1,5,9,7,1,91,154,38,91,2,5,160,0,12,0,0,92,0,2,42,0,0,1.0986122886681098,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0
16,30,113,118,1,5,124,1,0,102,13,124,126,4,41,69,8,61,25,2,165,0,0,56,12,73,0.0,0.6931471805599453,1.791759469228055,3.6109179126442243,12.38723519760423,0.0,0.0,0.0,4.820281565605037,0.0,0.0,0.0,4.143134726391533,0
0,49,73,154,6,4,49,1,1,30,50,143,98,2,125,38,5,92,32,3,67,0,7,37,2,7,0.0,1.6094379124341003,0.0,0.0,7.360739903058278,0.0,0.0,2.8903717578961645,4.02535169073515,0.0,0.0,0.0,0.0,0
11,18,154,133,1,1,116,0,1,30,132,157,148,1,40,142,5,106,0,0,59,0,0,83,0,0,0.0,0.0,0.0,0.0,7.289610521451167,1.6094379124341003,1.791759469228055,1.3862943611198906,1.6094379124341003,0.0,0.6931471805599453,0.0,0.0,0
9,28,138,51,1,4,54,2,1,39,74,83,9,10,88,23,8,71,0,0,70,0,1,18,0,0,0.0,3.784189633918261,1.0986122886681098,1.3862943611198906,7.438971592395862,3.091042453358316,1.9459101490553132,2.3978952727983707,3.091042453358316,0.0,0.6931471805599453,0.0,2.0794415416798357,1
11,18,100,73,1,5,59,4,1,30,8,63,153,1,35,12,8,2,0,0,130,0,2,105,0,0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,7.986164860332727,3.6888794541139363,2.8903717578961645,1.3862943611198906,6.082218910376446,0.0,2.0794415416798357,0.0,0.6931471805599453,0
9,58,69,151,1,5,43,1,1,105,96,130,15,7,13,88,0,60,0,0,108,0,0,91,0,0,2.302585092994046,0.6931471805599453,1.0986122886681098,1.791759469228055,2.9444389791664403,1.791759469228055,2.302585092994046,1.791759469228055,1.791759469228055,0.6931471805599453,0.6931471805599453,0.0,1.791759469228055,1
0,18,52,105,1,4,96,7,0,47,16,153,23,4,55,157,0,93,0,0,121,5,0,2,0,0,0.0,0.6931471805599453,1.0986122886681098,2.833213344056216,9.575330647518628,4.382026634673881,1.0986122886681098,2.833213344056216,4.6443908991413725,0.0,0.6931471805599453,0.0,2.833213344056216,0
0,13,61,136,1,1,53,1,1,30,129,102,143,1,10,144,4,69,43,2,106,0,8,10,16,49,0.0,3.295836866004329,2.0794415416798357,0.6931471805599453,8.135346948906706,4.653960350157523,2.3978952727983707,1.0986122886681098,1.9459101490553132,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0
